"gene","log2FC_T1","padj_T1","log2FC_T2","padj_T2"
"Gsr",-4.21360971174155,3.61078536979849e-71,-2.86065811624904,0
"Igkv12-89",-3.94506369594227,0.000236099037944686,-4.77019865543782,3.6935972073649e-124
"Atrnl1",-1.20717714277944,0.0212463422644862,-1.17901212628917,3.8453019409158e-11
