"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032727","positive regulation of interferon-alpha production","2/8","28/28905",0.0714285714285714,258.080357142857,22.6448507489809,2.52456136058502e-05,0.00235364913592425,0.000943819202375641,"Irf7/Stat1",2
"GO:0032647","regulation of interferon-alpha production","2/8","33/28905",0.0606060606060606,218.977272727273,20.8462210537443,3.52393136815437e-05,0.00235364913592425,0.000943819202375641,"Irf7/Stat1",2
"GO:0032607","interferon-alpha production","2/8","36/28905",0.0555555555555556,200.729166666667,19.9514497605359,4.20294488557903e-05,0.00235364913592425,0.000943819202375641,"Irf7/Stat1",2
"GO:0051607","defense response to virus","3/8","314/28905",0.00955414012738853,34.5203025477707,9.93700869679839,6.82912862094388e-05,0.00286823402079643,0.00115016903089581,"Irf7/Stat1/Ifit3",3
"GO:0009615","response to virus","3/8","377/28905",0.00795755968169761,28.7516578249337,9.0244664154681,0.000117415062041296,0.00301135446353936,0.00120756068713358,"Irf7/Stat1/Ifit3",3
"GO:0035458","cellular response to interferon-beta","2/8","63/28905",0.0317460317460317,114.702380952381,15.0322758356228,0.000129805118687116,0.00301135446353936,0.00120756068713358,"Stat1/Ifit3",2
"GO:0060337","type I interferon-mediated signaling pathway","2/8","67/28905",0.0298507462686567,107.85447761194,14.5695167435615,0.000146871576645988,0.00301135446353936,0.00120756068713358,"Irf7/Stat1",2
"GO:0071357","cellular response to type I interferon","2/8","67/28905",0.0298507462686567,107.85447761194,14.5695167435615,0.000146871576645988,0.00301135446353936,0.00120756068713358,"Irf7/Stat1",2
"GO:0035456","response to interferon-beta","2/8","72/28905",0.0277777777777778,100.364583333333,14.0459311988514,0.000169671598403417,0.00301135446353936,0.00120756068713358,"Stat1/Ifit3",2
"GO:0034340","response to type I interferon","2/8","74/28905",0.027027027027027,97.652027027027,13.8514284271346,0.000179247289496391,0.00301135446353936,0.00120756068713358,"Irf7/Stat1",2
"GO:0140888","interferon-mediated signaling pathway","2/8","85/28905",0.0235294117647059,85.0147058823529,12.9067047322024,0.000236556346709152,0.00339017139051169,0.00135946722426534,"Irf7/Stat1",2
"GO:0032481","positive regulation of type I interferon production","2/8","86/28905",0.0232558139534884,84.0261627906977,12.8298721185239,0.000242155099322264,0.00339017139051169,0.00135946722426534,"Irf7/Stat1",2
"GO:0032479","regulation of type I interferon production","2/8","136/28905",0.0147058823529412,53.1341911764706,10.1397512288976,0.000604005268080326,0.00778745507935992,0.0031227890042546,"Irf7/Stat1",2
"GO:0032606","type I interferon production","2/8","141/28905",0.0141843971631206,51.25,9.95218799537362,0.00064895458994666,0.00778745507935992,0.0031227890042546,"Irf7/Stat1",2
"GO:0030183","B cell differentiation","2/8","182/28905",0.010989010989011,39.7046703296703,8.71528826576838,0.00107683546206592,0.0120605571751382,0.00483631365419078,"Igkc/Ighm",2
"GO:0002377","immunoglobulin production","2/8","275/28905",0.00727272727272727,26.2772727272727,7.0078286775183,0.00243154247769878,0.0255311960158372,0.0102380735903106,"Igkv19-93/Ighm",2
"GO:0046719","regulation by virus of viral protein levels in host cell","1/8","10/28905",0.1,361.3125,18.9611890524291,0.00276467265470681,0.0263463270841213,0.0105649431916276,"Stat1",1
"GO:0016064","immunoglobulin mediated immune response","2/8","302/28905",0.00662251655629139,23.9279801324503,6.66440012653593,0.00292243726495957,0.0263463270841213,0.0105649431916276,"Irf7/Ighm",2
"GO:0019724","B cell mediated immunity","2/8","305/28905",0.00655737704918033,23.6926229508197,6.62901785975617,0.00297964413451372,0.0263463270841213,0.0105649431916276,"Irf7/Ighm",2
"GO:0042113","B cell activation","2/8","319/28905",0.00626959247648903,22.6528213166144,6.4703940121591,0.00325360678531205,0.0273302969966212,0.01095951759263,"Igkc/Ighm",2
"GO:0002756","MyD88-independent toll-like receptor signaling pathway","1/8","13/28905",0.0769230769230769,277.932692307692,16.6170791974772,0.00359276921039176,0.0282580941717851,0.011331566585177,"Irf7",1
"GO:0002329","pre-B cell differentiation","1/8","14/28905",0.0714285714285714,258.080357142857,16.0084474268309,0.00386866765447058,0.0282580941717851,0.011331566585177,"Ighm",1
"GO:0002755","MyD88-dependent toll-like receptor signaling pathway","1/8","14/28905",0.0714285714285714,258.080357142857,16.0084474268309,0.00386866765447058,0.0282580941717851,0.011331566585177,"Irf7",1
"GO:0002440","production of molecular mediator of immune response","2/8","423/28905",0.00472813238770686,17.0833333333333,5.5444515709496,0.00564325225351941,0.0370763193837583,0.0148676969959933,"Igkv19-93/Ighm",2
"GO:0060340","positive regulation of type I interferon-mediated signaling pathway","1/8","21/28905",0.0476190476190476,172.053571428571,13.0470015584904,0.00579808581226093,0.0370763193837583,0.0148676969959933,"Irf7",1
"GO:0060333","type II interferon-mediated signaling pathway","1/8","23/28905",0.0434782608695652,157.092391304348,12.4603318536205,0.00634874718228906,0.0370763193837583,0.0148676969959933,"Stat1",1
"GO:0002327","immature B cell differentiation","1/8","24/28905",0.0416666666666667,150.546875,12.1947931639564,0.00662397777651902,0.0370763193837583,0.0148676969959933,"Ighm",1
"GO:0035634","response to stilbenoid","1/8","25/28905",0.04,144.525,11.9452860529482,0.00689914166204175,0.0370763193837583,0.0148676969959933,"Ifit3",1
"GO:0019221","cytokine-mediated signaling pathway","2/8","471/28905",0.00424628450106157,15.3423566878981,5.22167192489593,0.00695183559525889,0.0370763193837583,0.0148676969959933,"Irf7/Stat1",2
