"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS",0.00238124053674934,0.132630604990265,0.431707695803346,-0.280997217398519,-1.51197784110758,269,"Ctnnd1;Noct;Fxn;Ankrd26;Rflnb;Socs5;Cx3cr1;Abcg1;Serpinf1;Eaf2;Acvrl1;Wdr77;Pak1;Fgl2;Riox1;Id2;Pparg;Tmem176b;Lrp5;Fcgr2b;Mafb;Zbtb46;Klf7;Myc;Clec4g;Vat1;Eif2ak4;Anxa1;Ccr2;Ski;Cebpa;Ing2;Pglyrp1;Mbnl3;Pramel12;Atg16l1;Tmem176a;Rai1;Vegfc;Ubash3b;Med1;Ltf;Tob2;Zfp36;Hdac7;Stat5b;Spi1;Eif4e;Rufy3;Slc4a2;Jak3;Il18;Notch3;Ppard;Jarid2;Ctdp1;Adck1;Hoxa9;Carm1;Epn1;Flcn;Abca5;Pik3cb;Oma1;Men1;Ptpn11;Cst3;Foxo1;Asxl1;Sema4a;Ptpn2;Rb1;H4c4;Ptk2b;Tmem131l;Tmsb4x;Rbpj;Rara;Lbh;Ctnna1;Psen1;Shoc2;Prickle1;Rtn4rl1;Shb"
"GOBP_NEGATIVE_REGULATION_OF_HEMOPOIESIS",0.000610445278903389,0.0750847693051168,0.477270815362862,-0.480433430415889,-1.94017675282612,48,"Socs5;Fgl2;Id2;Tmem176b;Fcgr2b;Mafb;Zbtb46;Myc;Clec4g;Anxa1;Cebpa;Pglyrp1;Tmem176a;Ubash3b;Ltf;Tob2;Slc4a2;Jak3"
"GOBP_NEGATIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS",9.02091326497856e-05,0.0342806836035447,0.538434096309916,-0.520580674669341,-2.07352467680107,46,"Havcr2;Socs5;Acp5;Cx3cr1;Axl;Lgals3;Fgl2;Fcgr2b;Clec4g;Anxa1;Ccr2;Angpt1;Pglyrp1;Slamf8;Spi1;Jak3"
"GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION",2.32193866704129e-05,0.0159662546478105,0.575610261071129,-0.768088633642719,-2.26273552591457,13,"Bank1;Ptpn22;Havcr2;Socs5;Arrb1"
"GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION",0.00635532666723314,0.175988341094359,0.407017918923954,-0.654237011346479,-1.8057455814066,11,"Ptpn22;Anxa4;Arrb1;Elane;Anxa1;Cd33"
"GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_ACTIVATION",0.00130868328381818,0.104411704157602,0.45505986738723,-0.399875669443848,-1.72774483812861,68,"Bank1;Ptpn22;Havcr2;Socs5;Axl;Tnfrsf21;Lgals3;Fgl2;Id2;Fcgr2b;Clec4g;Btla;Anxa1;Pglyrp1;Clnk;Slc4a2;Jak3;Lst1;H2-Eb1;Ctsg;Ptpn11;Itch"
"GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS",0.000251344322015427,0.0463730274118462,0.49849310876659,-0.283884773939376,-1.57437134669129,343,"Ctnnd1;Bank1;Ptpn22;Dock7;Havcr2;Fxn;Rab11fip1;Rflnb;Cd83;Socs5;Acp5;Cx3cr1;Axl;Serpinf1;Anxa4;Eaf2;Arrb1;Tnfrsf21;Wdr77;Pak1;Lgals3;Ifngr1;Clec4a3;Fgl2;Dock5;Relb;Id2;Pparg;Dock4;Tmem176b;Fcgr2b;Mafb;Git1;Zbtb46;Elane;Klf7;Pde4b;Myc;Clec4g;Cd63;Btla;Anxa1;Ccr2;Ski;Acot11;Angpt1;Cebpa;Ing2;Ilrun;Pglyrp1;Slamf8;P2rx4;Tmem176a;Pik3cg;Rai1;Anxa5;Ubash3b;Ltf;Tob2;Ptpn23;Clnk;Cd33;Zfp36;Hdac7;Spi1;Rufy3;Slc4a2;Jak3;Lst1;Plcl2;Prkaca;Tnfrsf1b;Jarid2;Atg12;H2-Eb1;Ctdp1;Epn1;Flcn;Ctsg;Pik3cb;Ptpn11;Tfe3;Cst3;Itch;Foxo1;Cd200r1;Acot13;P2rx7;Hsf1;Sema4a;Ptpn2;Evl;Prdx4;Rb1;App;Sh2b3;Fam76b;Ptk2b;Cry1;Tmem131l"
"GOBP_NEGATIVE_REGULATION_OF_OSTEOBLAST_DIFFERENTIATION",0.00279835330326851,0.140947607885479,0.431707695803346,-0.619918794833,-1.89074064432774,15,"Noct;Riox1;Id2;Pparg;Lrp5;Ski;Vegfc;Hdac7"
"GOBP_NEGATIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION",0.00833635411797794,0.201952287246021,0.380730400722792,-0.523571369940524,-1.79927635256944,23,"Ptpn22;Havcr2;Acp5;Axl;Clec4a3;Ilrun;Ltf;Cd33"
"GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY",0.00192402092305899,0.123471951410221,0.45505986738723,0.639763630370953,2.04308853959038,14,"Isg15;Oas1a;Usp18;Cnot7;Nlrc5;Mettl3;Smim30;Stat2;Adar"
