"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050729","positive regulation of inflammatory response","3/5","167/28905",0.0179640718562874,103.850299401198,17.5327718191014,1.87815201608207e-06,0.000128913117277416,1.76231192450329e-05,"Ighg2b/S100a8/S100a9",3
"GO:0018119","peptidyl-cysteine S-nitrosylation","2/5","14/28905",0.142857142857143,825.857142857143,40.6047204909256,2.17660587255853e-06,0.000128913117277416,1.76231192450329e-05,"S100a8/S100a9",2
"GO:0017014","protein nitrosylation","2/5","15/28905",0.133333333333333,770.8,39.2251687318797,2.51129449241719e-06,0.000128913117277416,1.76231192450329e-05,"S100a8/S100a9",2
"GO:0070486","leukocyte aggregation","2/5","19/28905",0.105263157894737,608.526315789474,34.8428159452134,4.08869027938637e-06,0.000157414575756375,2.15194225230862e-05,"S100a8/S100a9",2
"GO:0002523","leukocyte migration involved in inflammatory response","2/5","27/28905",0.0740740740740741,428.222222222222,29.2123984591524,8.3879283361578e-06,0.00025834819275366,3.53175929943486e-05,"S100a8/S100a9",2
"GO:0034121","regulation of toll-like receptor signaling pathway","2/5","31/28905",0.0645161290322581,372.967741935484,27.2550952563355,1.1109135936576e-05,0.000285134489038784,3.89794243388631e-05,"S100a8/S100a9",2
"GO:0014002","astrocyte development","2/5","39/28905",0.0512820512820513,296.461538461538,24.2859451485362,1.76931425972919e-05,0.000389249137140422,5.32124589392237e-05,"S100a8/S100a9",2
"GO:0018198","peptidyl-cysteine modification","2/5","48/28905",0.0416666666666667,240.875,21.8773679811524,2.6916909936174e-05,0.00047809183127268,6.53577349655065e-05,"S100a8/S100a9",2
"GO:0050727","regulation of inflammatory response","3/5","411/28905",0.0072992700729927,42.1970802919708,11.0643446127009,2.7940431697754e-05,0.00047809183127268,6.53577349655065e-05,"Ighg2b/S100a8/S100a9",3
"GO:0002224","toll-like receptor signaling pathway","2/5","71/28905",0.028169014084507,162.845070422535,17.9593766328235,5.92039381438118e-05,0.000871080092908063,0.000119081352413953,"S100a8/S100a9",2
"GO:2001244","positive regulation of intrinsic apoptotic signaling pathway","2/5","73/28905",0.0273972602739726,158.383561643836,17.709180716468,6.26021697625476e-05,0.000871080092908063,0.000119081352413953,"S100a8/S100a9",2
"GO:0006919","activation of cysteine-type endopeptidase activity involved in apoptotic process","2/5","76/28905",0.0263157894736842,152.131578947368,17.3525091388701,6.7876370875953e-05,0.000871080092908063,0.000119081352413953,"S100a8/S100a9",2
"GO:0048708","astrocyte differentiation","2/5","95/28905",0.0210526315789474,121.705263157895,15.499990635741,0.00010619972489575,0.00125805827953427,0.000171983360155061,"S100a8/S100a9",2
"GO:0030593","neutrophil chemotaxis","2/5","112/28905",0.0178571428571429,103.232142857143,14.2583106239951,0.000147673014951603,0.00162440316446764,0.000222064684137749,"S100a8/S100a9",2
"GO:0043280","positive regulation of cysteine-type endopeptidase activity involved in apoptotic process","2/5","119/28905",0.0168067226890756,97.1596638655462,13.8258172409562,0.000166716401274946,0.00171162171975611,0.000233987931613959,"S100a8/S100a9",2
"GO:0071621","granulocyte chemotaxis","2/5","137/28905",0.0145985401459854,84.3941605839416,12.8693361591642,0.000220936111563635,0.00197382166410039,0.000269832079849678,"S100a8/S100a9",2
"GO:0021782","glial cell development","2/5","140/28905",0.0142857142857143,82.5857142857143,12.7280245372721,0.000230706428271475,0.00197382166410039,0.000269832079849678,"S100a8/S100a9",2
"GO:1990266","neutrophil migration","2/5","140/28905",0.0142857142857143,82.5857142857143,12.7280245372721,0.000230706428271475,0.00197382166410039,0.000269832079849678,"S100a8/S100a9",2
"GO:2001056","positive regulation of cysteine-type endopeptidase activity","2/5","144/28905",0.0138888888888889,80.2916666666667,12.5464787866973,0.000244059033601755,0.0019781626934037,0.000270425521996404,"S100a8/S100a9",2
"GO:0002793","positive regulation of peptide secretion","2/5","154/28905",0.012987012987013,75.0779220779221,12.123771146112,0.000279066186659834,0.00214880963728072,0.000293753880694562,"S100a8/S100a9",2
"GO:0010950","positive regulation of endopeptidase activity","2/5","164/28905",0.0121951219512195,70.5,11.7400743237565,0.000316391767917235,0.00230261149234175,0.000314779424790396,"S100a8/S100a9",2
"GO:0097530","granulocyte migration","2/5","169/28905",0.0118343195266272,68.414201183432,11.5610330480092,0.000335922441267268,0.00230261149234175,0.000314779424790396,"S100a8/S100a9",2
"GO:0062207","regulation of pattern recognition receptor signaling pathway","2/5","171/28905",0.0116959064327485,67.6140350877193,11.4916081332361,0.000343896521583507,0.00230261149234175,0.000314779424790396,"S100a8/S100a9",2
"GO:2001235","positive regulation of apoptotic signaling pathway","2/5","176/28905",0.0113636363636364,65.6931818181818,11.3232121946444,0.000364235908014529,0.00233718040975989,0.000319505182468885,"S100a8/S100a9",2
"GO:0043281","regulation of cysteine-type endopeptidase activity involved in apoptotic process","2/5","187/28905",0.0106951871657754,61.8288770053476,10.9766182797064,0.000411012457930105,0.00246046456265742,0.000336358791887548,"S100a8/S100a9",2
"GO:0010952","positive regulation of peptidase activity","2/5","188/28905",0.0106382978723404,61.5,10.9466144038509,0.000415403107981122,0.00246046456265742,0.000336358791887548,"S100a8/S100a9",2
"GO:2001242","regulation of intrinsic apoptotic signaling pathway","2/5","194/28905",0.0103092783505155,59.5979381443299,10.7714481547467,0.000442230221572686,0.00252235015267384,0.000344818886216519,"S100a8/S100a9",2
