"CellType","WT_percent","KO_percent","Difference","log2FC"
"Tgd",0.138888888888889,0.769941484447182,0.631052595558293,2.38912979489215
"Eosinophils",0,0.0307976593778873,0.0307976593778873,2.02848638502082
"ILC",0.138888888888889,0.461964890668309,0.32307600177942,1.66444344778387
"Macrophages",1.73611111111111,5.23560209424084,3.49949098312973,1.58696301037088
"Neutrophils",5.69444444444444,16.1687711733908,10.4743267289464,1.50394374040571
"NKT",1.21527777777778,2.09424083769634,0.878963059918557,0.78019098167978
"Stem cells",1.28472222222222,2.18663381583,0.901911593607775,0.762651782730382
"DC",1.5625,2.34062211271943,0.778122112719433,0.579982612092774
"NK cells",1.5625,2.03264551894056,0.470145518940561,0.377378843139411
"Basophils",0.3125,0.307976593778873,-0.00452340622112718,-0.0203785877367844
"B cells",39.0972222222222,33.877425315676,-5.21979690654621,-0.206685036866175
"Monocytes",5.72916666666667,4.34246997228211,-1.38669669438456,-0.399006926447439
"T cells",41.4930555555556,30.1509085309516,-11.3421470246039,-0.460537667803472
"B cells, pro",0.0347222222222222,0,-0.0347222222222222,-2.1609918766723
